"id","name","quantity"
22,"10003-CHOR. PARRILLERO",0
48,"10005-CHOR. COL. CANTIMPALO",10
23,"10007-JAMON AL ROJO",0
91,"10014-PALETA CON HUESO",0
71,"10018-ESPINAZO",0
73,"10022-ASADO",0
107,"10033-PATAS Y BRAZUELOS",0
10,"10045-LECHON",0
111,"10047-1/2 S/CAB C/C",0
84,"10048-1/2 S/CAB S/C",0
17,"10061-ASADO A/V CAMPOSUR",90
30,"10062-PECHITO PARR. A/V CAMPOSUR",60
34,"10063-BONDIOLA A/V CAMPOSUR",0
100,"10064-LOMITO A/V CAMPOSUR",0
24,"10065-MATAMBRITO A/V CAMPOSUR",90
32,"10066-SECRETO A/V CAMPOSUR",0
99,"10068-COSTILLITA A/V CAMPOSUR",0
38,"10069-PICANA A/V CAMPOSUR",0
33,"10070-BOLA DE LOMO A/V CAMPOSUR",0
28,"10071-NALGA A/V CAMPOSUR",0
21,"10072-COL. DE CUAD. A/V CAMPOSUR",0
29,"10073-PECETO A/V CAMPOSUR",0
92,"10074-MILANESAS A/V CAMPOSUR",0
94,"10075-MEDALLONES A/V CAMPOSUR",0
96,"10076-PULPA P/MILAN. A/V CAMPOSUR",0
95,"10077-CHULETA A/V CAMPOSUR",0
79,"10101-COCHINILLO",0
40,"10118-CHOR. EXTRA A/V",0
90,"10170-CHOR.DE CORDERO A/V X3U",0
26,"10176-MORC. DULCE",0
27,"10177-MORC. SALADA",0
76,"10183-CHOR.C/CHEDDAR Y MORRON",0
12,"10188-BONDIOLA RELLENA SALADA",90
11,"10189-BONDIOLA RELLENA AGRID.",0
98,"10190-HIGADO A LA TELA",0
39,"10191-RINON A LA TELA",0
68,"102001-DESC. CONCEDIDOS T. BÁS.",0
69,"10205-DESCUENTOS CONCEDIDOS",0
81,"10231-PAMPLONA AGRIDULCE",0
14,"10232-PAMPLONA SALADA",0
25,"10237-MORC. DUL. C/N Y M. A/V",0
54,"10238-MORC. SAL. C/Q Y A. A/V",90
51,"10248-BUTIFARRA A/V",0
36,"10283-CHOR.C/QUESO Y ACEI. A/V",0
35,"10284-CHOR.C/CHEDDAR Y MORR. A/V",0
49,"10286-SALCH. PARR.C/QUESO A/V",0
88,"10328-LEONESA A/V 1/2",0
97,"10343-QUESO DE CERDO MINI",0
75,"10415-MATAMBRE DE CARNE RELL.",0
56,"10425-JAMON COCIDO PERITA",0
45,"10432-KASSLER A/V",90
110,"10459-DOLF.HAMB.CLAS.X3U (FP)",0
19,"10466-BABY RIBS A/V CAMPOSUR",0
18,"10467-ASADO DE CEN. A/V CAMPOSUR",10
44,"10470-JAMON DE CAMPO",0
20,"10513-BIFE DE VACIO A/V CAMPOSUR",0
78,"10516-PANCETA AMERICANA",0
50,"10542-HAMB.PARRILLERA 1ESTX12U",0
13,"10558-BROCHETTES DE CERDO",0
37,"10563-CHORIZO KOSHER A/V X3U",10
93,"10564-LONGANIZA FINCETA",0
43,"10567-FRANK. KOSHER CORTOS X8U",0
61,"10574-HAMB.LIGHT S/SAL 1ESTX12U",0
16,"10575-HAMB.KOSHER 1ESTX12U",0
58,"10582-PASTRAMI",0
109,"10595-FRANK. LIGHT RED.EN SAL X8U",0
70,"10636-SOPRESSATA A/V (PORCIONES)",0
87,"10637-PANCETA AHUMADA TROZOS A/V",0
52,"10640-FRANK. CORTOS 2X8 UD. PROMO",0
102,"10641-JAMON CRUDO SPECK",0
53,"10708-FRANK. LIGHT RED.EN SAL 2X8U PROMO",0
80,"10710-MORTADELIN + QUESITO PROMO",0
62,"10717-CHACARERO FINCETA A/V",0
89,"10718-LONGANIZA FINCETA A/V",0
77,"10719-SALAME FINCETA A/V",0
64,"10720-SALAMIN A/V",0
57,"10721-CHACARERO A/V",0
83,"10722-LONGANIZA A/V",0
74,"10755-LECHON ARROLLADO",0
104,"10781-CHOR PARRILLERO ESPETO",2
105,"10782-MORC DULCE ESPETO",0
106,"10783-MORC SALADA ESPETO",0
15,"10791-HAMB. EXTRA 1EST X 20+4U",0
85,"10795-BONDIOLA A/V + CHORIZO X3 DE REGALO",0
86,"10837-JAMON GRAN RESERVA",0
42,"10842-DOLF. FRANK. CORTOS X8",0
65,"10853-SALCHICHA PARRILLERA KOSHER A/V",0
66,"10858-PATE DE HIGADO",0
67,"10859-PATE DE LENGUA",0
59,"10860-PATE DE JAMON",90
103,"10881-LENGUA COCIDA A/V",0
55,"10882-SALAMIN KOSHER A/V",0
72,"10885-PATE DE LENGUA AHUMADO",0
63,"10886-PATE DE HIGADO AHUMADO CON TRUFAS",0
60,"10937-HAMB. EXTRA GRANDE 1ESTX6U",0
82,"10939-CHACARERO A/V PRECIO LIDER",0
46,"10940-LONGANIZA A/V PRECIO LIDER",0
47,"10941-SALAMIN A/V PRECIO LIDER",0
31,"10953-RACK DE CERDO A/V",0
101,"10954-RACK DE CERDO ENTERO",0
2,"10981-ASADO KOSHER",10
3,"10982-BIFE ANCHO KOSHER",4
1,"10983-AGUJA KOSHER",0
8,"10984-PALETA KOSHER",0
9,"10985-PECHO KOSHER",0
6,"10986-MARUCHA KOSHER",90
112,"10987-CHINGOLO KOSHER",0
4,"10988-BRAZUELO KOSHER",0
7,"10990-MATAMBRE KOSHER",90
108,"10995-1/2 RES",0
41,"10996-TRASERO KOSHER",0
5,"156-FIS T.M.",0